GDS5673
ID_REF	GSM1146158	GSM1146159	GSM1146160	GSM1146161	GSM1146165	GSM1146166	GSM1146167	GSM1146162	GSM1146163	GSM1146164	Gene title	Gene symbol	Gene ID	UniGene title	UniGene symbol	UniGene ID	Nucleotide Title	GI	GenBank Accession	Platform_CLONEID	Platform_ORF	Platform_SPOTID	Chromosome location	Chromosome annotation	GO:Function	GO:Process	GO:Component	GO:Function ID	GO:Process ID	GO:Component ID
10347060	69.551	75.5835	64	74.028	72.5046	65.7993	61.8199	73.5167	68.1197	71.5064	unc-80, NALCN activator	Unc80	329178				Mus musculus unc-80, NALCN activator (Unc80), mRNA///Mus musculus 10 days neonate cortex cDNA, RIKEN full-length enriched library, clone:A830050C03 product:hypothetical protein, full insert sequence///Mus musculus unc-80 homolog (C. elegans), mRNA (cDNA clone MGC:144630 IMAGE:40104344), complete cds///Mus musculus strain C57BL/6 UNC-80 mRNA, complete cds	254939707///26336007///115527549///218683664	NM_175510///AK043914///BC116430///FJ210934			chr1:66468413-66510685	1 C3	Chromosome 1, NC_000067.6 (66468296..66699148)	protein binding	biological_process	cellular_component///integral component of membrane///membrane	GO:0005515	GO:0008150	GO:0005575///GO:0016021///GO:0016020
10347210	98.36	70.0348	85.6274	80.4489	69.551	99.0442	85.0359	71.0124	72.0037	65.7993	apolipoprotein L 7d	Apol7d	100042814				Mus musculus 12 days embryo female mullerian duct includes surrounding region cDNA, RIKEN full-length enriched library, clone:6820407J23 product:hypothetical Arginine-rich region profile containing protein, full insert sequence///Mus musculus 13 days embryo heart cDNA, RIKEN full-length enriched library, clone:D330010C13 product:unclassifiable, full insert sequence///Mus musculus apolipoprotein L 7d (Apol7d), long non-coding RNA	74179766///26095070///339515658	AK135370///AK052223///NR_040308			chr1:71652992-71657245	1 C3	Chromosome 1, NC_000067.6 (71653335..71662843)	molecular_function	biological_process	cellular_component	GO:0003674	GO:0008150	GO:0005575
10347254	519.147	433.534	484.382	439.586	477.713	568.1	471.136	424.612	491.143	372.217	SWI/SNF related matrix associated, actin dependent regulator of chromatin, subfamily a-like 1	Smarcal1	54380				Mus musculus SWI/SNF related matrix associated, actin dependent regulator of chromatin, subfamily a-like 1 (Smarcal1), mRNA///Mus musculus HepA-related protein Harp mRNA, complete cds///Mus musculus 3 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A630083B12 product:Swi/SNF related matrix associated, actin dependent regulator of chromatin, subfamily a-like 1, full insert sequence///Mus musculus 13 days embryo male testis cDNA, RIKEN full-length enriched library, clone:6030401P21 product:HEPA-RELATED PROTEIN HARP homolog [Mus musculus], full insert sequence///Mus musculus adult male pituitary gland cDNA, RIKEN full-length enriched library, clone:5330418M18 product:Swi/SNF related matrix associated, actin dependent regulator of chromatin, subfamily a-like 1, full insert sequence///Mus musculus 3 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A630025M09 product:Swi/SNF related matrix associated, actin dependent regulator of chromatin, subfamily a-like 1, full insert sequence///Mus musculus SWI/SNF related matrix associated, actin dependent regulator of chromatin, subfamily a-like 1, mRNA (cDNA clone MGC:25752 IMAGE:3992325), complete cds	229577277///6693792///74193274///26346796///74179774///74138594///20809350	NM_018817///AF088884///AK042332///AK077878///AK161570///AK169465///BC029078			chr1:72583271-72633134	1 36.72 cM	Chromosome 1, NC_000067.6 (72536691..72636790)	ATP binding///DNA-dependent ATPase activity///DNA-dependent ATPase activity///annealing helicase activity///helicase activity///hydrolase activity///nucleotide binding	DNA metabolic process///DNA strand renaturation///cellular response to DNA damage stimulus///regulation of transcription from RNA polymerase II promoter///replication fork processing	colocalizes_with DNA replication factor A complex///nucleoplasm///nucleus///site of double-strand break	GO:0005524///GO:0008094///GO:0008094///GO:0036310///GO:0004386///GO:0016787///GO:0000166	GO:0006259///GO:0000733///GO:0006974///GO:0006357///GO:0031297	colocalizes_with GO:0005662///GO:0005654///GO:0005634///GO:0035861
10347282	89.8845	112.206	93.7015	94.3532	95.0095	101.829	94.3532	111.43	79.8932	93.0542	RUN and FYVE domain containing 4	Rufy4	435626				Mus musculus RUN and FYVE domain containing 4 (Rufy4), transcript variant 2, mRNA///Mus musculus RUN and FYVE domain containing 4 (Rufy4), transcript variant 1, mRNA///Mus musculus RUN and FYVE domain containing 4, mRNA (cDNA clone MGC:183818 IMAGE:9087818), complete cds///Mus musculus RUN and FYVE domain containing 4, mRNA (cDNA clone MGC:183821 IMAGE:9087821), complete cds	169808408///282165730///187956306///187956572	NM_001034060///NM_001170641///BC150907///BC150910			chr1:74125541-74148223	1 C3	Chromosome 1, NC_000067.6 (74124618..74148230)	metal ion binding///molecular_function	biological_process	cellular_component	GO:0046872///GO:0003674	GO:0008150	GO:0005575
10347508	1251.98	962.071	1243.34	1009.9	1200.98	1251.98	1152.06	1002.93	1184.45	962.071	family with sequence similarity 134, member A	Fam134a	227298				Mus musculus family with sequence similarity 134, member A (Fam134a), transcript variant 1, mRNA///Mus musculus visual cortex cDNA, RIKEN full-length enriched library, clone:K530014D16 product:hypothetical protein, full insert sequence///Mus musculus family with sequence similarity 134, member A, mRNA (cDNA clone MGC:47289 IMAGE:4221441), complete cds///Mus musculus family with sequence similarity 134, member A, mRNA (cDNA clone MGC:95558 IMAGE:5707319), complete cds	124248547///74185185///23398561///47124592	NM_170755///AK158940///BC038286///BC070406			chr1:75142786-75147909	1 C3	Chromosome 1, NC_000067.6 (75142786..75147909)	molecular_function	biological_process	integral component of membrane///membrane	GO:0003674	GO:0008150	GO:0016021///GO:0016020
10347521	494.559	401.707	501.463	448.822	464.65	515.561	484.382	424.612	494.559	407.315	zinc finger, AN1 type domain 2B	Zfand2b	68818				Mus musculus zinc finger, AN1 type domain 2B (Zfand2b), transcript variant 2, mRNA///Mus musculus zinc finger, AN1 type domain 2B (Zfand2b), transcript variant 3, mRNA///Mus musculus zinc finger, AN1 type domain 2B (Zfand2b), transcript variant 1, mRNA///Mus musculus zinc finger, AN1 type domain 2B, mRNA (cDNA clone MGC:19093 IMAGE:4196340), complete cds	229577441///229577445///229577433///15079310	NM_001159905///NM_001159906///NM_026846///BC011495			chr1:75168710-75171625	1 C3	Chromosome 1, NC_000067.6 (75168646..75171626)	metal ion binding///protein binding///zinc ion binding	SRP-dependent cotranslational protein targeting to membrane, translocation	endoplasmic reticulum	GO:0046872///GO:0005515///GO:0008270	GO:0006616	GO:0005783
10347583	286.026	183.546	266.871	163.144	218.275	304.437	243.875	199.466	347.291	186.108	desmin	Des	13346				Mus musculus desmin (Des), mRNA///Mus musculus desmin, mRNA (cDNA clone MGC:25641 IMAGE:4219280), complete cds	576067924///21594445	NM_010043///BC031760			chr1:75360344-75367716	1 C3	Chromosome 1, NC_000067.6 (75360292..75368579)	cytoskeletal protein binding///identical protein binding///protein binding///structural constituent of cytoskeleton///structural molecule activity	intermediate filament organization///muscle organ development	Z disc///Z disc///contractile fiber///cytoplasm///cytoskeleton///extracellular exosome///fascia adherens///gap junction///intercalated disc///colocalizes_with intermediate filament///intermediate filament cytoskeleton///intracellular///membrane///neuromuscular junction///plasma membrane///sarcolemma///sarcolemma///type III intermediate filament	GO:0008092///GO:0042802///GO:0005515///GO:0005200///GO:0005198	GO:0045109///GO:0007517	GO:0030018///GO:0030018///GO:0043292///GO:0005737///GO:0005856///GO:0070062///GO:0005916///GO:0005921///GO:0014704///colocalizes_with GO:0005882///GO:0045111///GO:0005622///GO:0016020///GO:0031594///GO:0005886///GO:0042383///GO:0042383///GO:0045098
10347767	74.028	66.257	73.0089	58.4852	69.0706	66.7178	71.5064	66.257	69.0706	73.0089	potassium voltage-gated channel, Isk-related subfamily, gene 4	Kcne4	57814				Mus musculus potassium voltage-gated channel, Isk-related subfamily, gene 4 (Kcne4), mRNA///Mus musculus minK-related peptide 3 mRNA, complete cds///Mus musculus potassium voltage-gated channel, Isk-related subfamily, gene 4, mRNA (cDNA clone MGC:41085 IMAGE:3472318), complete cds///Mus musculus potassium voltage-gated channel, Isk-related subfamily, gene 4, mRNA (cDNA clone IMAGE:3470905), complete cds	10946657///4704432///21411194///22028391	NM_021342///AF076533///BC032920///BC034849			chr1:78816921-78820028	1 C4	Chromosome 1, NC_000067.6 (78816949..78820025)	ion channel binding///potassium channel activity///voltage-gated ion channel activity///voltage-gated potassium channel activity	ion transport///potassium ion transmembrane transport///potassium ion transport///regulation of ion transmembrane transport///transport	apical plasma membrane///integral component of membrane///membrane///voltage-gated potassium channel complex	GO:0044325///GO:0005267///GO:0005244///GO:0005249	GO:0006811///GO:0071805///GO:0006813///GO:0034765///GO:0006810	GO:0016324///GO:0016021///GO:0016020///GO:0008076
10348119	58.4852	61.3929	49.5221	60.1295	56.8859	60.9688	53.0765	61.8199	49.18	57.68												chr1:87068030-87071005								
10348301	85.6274	90.5097	75.5835	79.8932	70.0348	75.5835	74.5429	85.0359	77.1717	73.0089	S-antigen, retina and pineal gland (arrestin)	Sag	20215				Mus musculus S-antigen, retina and pineal gland (arrestin) (Sag), mRNA///PREDICTED: Mus musculus S-antigen, retina and pineal gland (arrestin) (Sag), transcript variant X4, mRNA///Mus musculus strain C57BL/6 hypothetical truncated retinal S-antigen mRNA, complete cds///Mus musculus retinal S-antigen, mRNA (cDNA clone MGC:25370 IMAGE:4527551), complete cds///Mus musculus retinal S-antigen (Sag) mRNA, complete cds///Mus musculus 0 day neonate eyeball cDNA, RIKEN full-length enriched library, clone:E130006G23 product:retinal S-antigen, full insert sequence	70980544///755493942///55667891///16741334///387850///26343348	NM_009118///XM_006529274///AY651760///BC016498///M24086///AK053278			chr1:87803680-87845158	1 44.44 cM	Chromosome 1, NC_000067.6 (87800167..87845158)	opsin binding///phosphoprotein binding///spectrin binding	response to stimulus///signal transduction///visual perception	photoreceptor inner segment///photoreceptor inner segment///photoreceptor outer segment///photoreceptor outer segment	GO:0002046///GO:0051219///GO:0030507	GO:0050896///GO:0007165///GO:0007601	GO:0001917///GO:0001917///GO:0001750///GO:0001750
10348432	1323.37	1128.35	1260.69	1152.06	1217.75	1370.04	1287.18	1152.06	1468.37	1120.56	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1	Agap1	347722				Mus musculus ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 (Agap1), transcript variant 2, mRNA///Mus musculus ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 (Agap1), transcript variant 1, mRNA///Mus musculus adult male brain UNDEFINED_CELL_LINE cDNA, RIKEN full-length enriched library, clone:M5C1061C22 product:centaurin, gamma 2, full insert sequence	80978936///80978935///74184733	NM_001037136///NM_178119///AK147521			chr1:89454811-89895282	1 D	Chromosome 1, NC_000067.6 (89454811..89895282)	GTP binding///GTPase activator activity///GTPase activity///metal ion binding///nucleotide binding///phospholipid binding	protein transport///small GTPase mediated signal transduction///transport	cytoplasm///cytosol	GO:0005525///GO:0005096///GO:0003924///GO:0046872///GO:0000166///GO:0005543	GO:0015031///GO:0007264///GO:0006810	GO:0005737///GO:0005829
10348456	2401.97	2241.11	2401.97	2194.99	2418.67	2574.36	2385.37	2210.26	2610.3	2256.7	COP9 signalosome subunit 8	Cops8	108679				Mus musculus COP9 signalosome subunit 8 (Cops8), mRNA///Mus musculus COP9 signalosome subunit 8 (Csn8) mRNA, complete cds///Mus musculus COP9 (constitutive photomorphogenic) homolog, subunit 8 (Arabidopsis thaliana), mRNA (cDNA clone MGC:19354 IMAGE:4238947), complete cds///Mus musculus COP9 (constitutive photomorphogenic) homolog, subunit 8 (Arabidopsis thaliana), mRNA (cDNA clone MGC:36612 IMAGE:5344864), complete cds///Mus musculus COP9 (constitutive photomorphogenic) homolog, subunit 8 (Arabidopsis thaliana), mRNA (cDNA clone MGC:36568 IMAGE:4987584), complete cds///Mus musculus 0 day neonate lung cDNA, RIKEN full-length enriched library, clone:E030029A04 product:COP9 (constitutive photomorphogenic) homolog, subunit 8 (Arabidopsis thaliana), full insert sequence	114158690///19526371///17389271///18204554///19353495///74224479	NM_133805///AF482000///BC017690///BC021488///BC024421///AK142989			chr1:90602981-90613341	1 D	Chromosome 1, NC_000067.6 (90603425..90613341)	protein binding	COP9 signalosome assembly///activation of NF-kappaB-inducing kinase activity///cullin deneddylation///negative regulation of cell proliferation	COP9 signalosome///COP9 signalosome///COP9 signalosome///cytoplasm///extracellular exosome///nucleoplasm///nucleus///perinuclear region of cytoplasm	GO:0005515	GO:0010387///GO:0007250///GO:0010388///GO:0008285	GO:0008180///GO:0008180///GO:0008180///GO:0005737///GO:0070062///GO:0005654///GO:0005634///GO:0048471
10349316	814.629	634.73	724.077	564.175	792.353	903.888	709.176	639.145	744.434	630.346	transmembrane protein 185B	Tmem185b	226351				Mus musculus transmembrane protein 185B (Tmem185b), mRNA///Mus musculus transmembrane protein 185B, mRNA (cDNA clone MGC:25511 IMAGE:2646072), complete cds	334191658///19353118	NM_146103///BC024712			chr1:119526167-119528226	1 E2.3	Chromosome 1, NC_000067.6 (119526154..119528983)	molecular_function	biological_process	cellular_component///integral component of membrane///membrane	GO:0003674	GO:0008150	GO:0005575///GO:0016021///GO:0016020
10349571	55.7152	68.1197	52.7098	58.0812	62.2499	54.1917	50.9143	65.3448	55.3304	65.3448	Fc receptor, IgA, IgM, high affinity	Fcamr	64435				Mus musculus Fc receptor, IgA, IgM, high affinity (Fcamr), transcript variant 1, mRNA///Mus musculus Fc receptor, IgA, IgM, high affinity (Fcamr), transcript variant 2, mRNA///Mus musculus mRNA for Fca/m receptor, complete cds///Mus musculus Fc receptor, IgA, IgM, high affinity, mRNA (cDNA clone MGC:129330 IMAGE:40047147), complete cds///Mus musculus Fc receptor, IgA, IgM, high affinity, mRNA (cDNA clone MGC:129331 IMAGE:40047153), complete cds///Mus musculus strain C57BL/6 Fc IgA/IgM receptor mRNA, complete cds	282165711///162461311///11071949///83405540///83405542///198414975	NM_001170632///NM_144960///AB048834///BC110549///BC110550///FJ011703			chr1:130800902-130814740	1 F	Chromosome 1, NC_000067.6 (130784790..130825884)	IgA binding///IgM binding///transmembrane signaling receptor activity	adaptive immune response///immune response///immune system process	integral component of membrane///membrane///plasma membrane	GO:0019862///GO:0001791///GO:0004888	GO:0002250///GO:0006955///GO:0002376	GO:0016021///GO:0016020///GO:0005886
